job_id,candidate_id,job_title,job_domain,required_years,candidate_domain,candidate_years,candidate_degree,education_score,relevant_experience_score,stack_experience_score,companies_score
JOBTR0001,TRAIN00035,Lead Data Analyst,Data Analysis,13,Data Analysis,3.1,Bachelor,42,24,61,64
JOBTR0001,TRAIN00124,Lead Data Analyst,Data Analysis,13,Data Analysis,1.7,High School,19,19,27,35
JOBTR0001,TRAIN00588,Lead Data Analyst,Data Analysis,13,Data Analysis,11.5,Master,90,76,69,40
JOBTR0001,TRAIN00127,Lead Data Analyst,Data Analysis,13,Data Analysis,4.1,PhD,99,32,13,37
JOBTR0001,TRAIN00281,Lead Data Analyst,Data Analysis,13,Data Analysis,7.2,High School,25,50,16,36
JOBTR0001,TRAIN00434,Lead Data Analyst,Data Analysis,13,Data Analysis,3.1,Bachelor,61,20,23,62
JOBTR0001,TRAIN00109,Lead Data Analyst,Data Analysis,13,Data Analysis,8.4,Bachelor,50,64,33,65
JOBTR0001,TRAIN00479,Lead Data Analyst,Data Analysis,13,Data Analysis,1.2,Bachelor,64,7,1,34
JOBTR0001,TRAIN00333,Lead Data Analyst,Data Analysis,13,Data Analysis,17.9,Bachelor,58,86,42,47
JOBTR0001,TRAIN00096,Lead Data Analyst,Data Analysis,13,Data Analysis,19.2,Bachelor,60,92,84,61
JOBTR0001,TRAIN00365,Lead Data Analyst,Data Analysis,13,Data Analysis,16.1,Bachelor,45,87,60,39
JOBTR0001,TRAIN00576,Lead Data Analyst,Data Analysis,13,Data Analysis,7.5,PhD,93,56,20,37
JOBTR0001,TRAIN00268,Lead Data Analyst,Data Analysis,13,Data Analysis,2.1,High School,22,22,12,33
JOBTR0001,TRAIN00449,Lead Data Analyst,Data Analysis,13,Data Analysis,6.9,Master,76,52,19,36
JOBTR0001,TRAIN00643,Lead Data Analyst,Data Analysis,13,Data Analysis,14.4,Bachelor,58,88,31,53
JOBTR0001,TRAIN00059,Lead Data Analyst,Data Analysis,13,Data Analysis,7.0,Master,81,52,48,58
JOBTR0001,TRAIN00090,Lead Data Analyst,Data Analysis,13,Data Analysis,28.1,Master,82,99,42,57
JOBTR0001,TRAIN00728,Lead Data Analyst,Data Analysis,13,Data Analysis,24.8,Bachelor,62,89,52,51
JOBTR0001,TRAIN00327,Lead Data Analyst,Data Analysis,13,Data Analysis,7.5,Master,90,49,31,36
JOBTR0001,TRAIN00707,Lead Data Analyst,Data Analysis,13,Data Analysis,16.5,Bachelor,60,90,47,38
JOBTR0001,TRAIN00228,Lead Data Analyst,Data Analysis,13,Data Analysis,13.3,High School,21,86,32,41
JOBTR0001,TRAIN00510,Lead Data Analyst,Data Analysis,13,Data Analysis,9.5,Master,77,65,16,38
JOBTR0001,TRAIN00216,Lead Data Analyst,Data Analysis,13,Data Analysis,9.3,High School,20,64,22,31
JOBTR0001,TRAIN00306,Lead Data Analyst,Data Analysis,13,Data Analysis,5.0,High School,21,31,17,35
JOBTR0001,TRAIN00427,Lead Data Analyst,Data Analysis,13,Data Analysis,4.8,Master,75,38,22,34
JOBTR0001,TRAIN00748,Lead Data Analyst,Data Analysis,13,Data Analysis,1.1,Bachelor,46,14,2,39
JOBTR0001,TRAIN00078,Lead Data Analyst,Data Analysis,13,Data Analysis,1.7,Bachelor,65,11,28,63
JOBTR0001,TRAIN00631,Lead Data Analyst,Data Analysis,13,Data Analysis,4.6,PhD,93,31,18,39
JOBTR0001,TRAIN00284,Lead Data Analyst,Data Analysis,13,Data Analysis,1.5,High School,17,15,26,34
JOBTR0001,TRAIN00122,Lead Data Analyst,Data Analysis,13,Data Analysis,3.9,Bachelor,57,38,18,67
JOBTR0001,TRAIN00032,Lead Data Analyst,Data Analysis,13,Data Analysis,0.1,Bachelor,57,0,10,20
JOBTR0001,TRAIN00028,Lead Data Analyst,Data Analysis,13,Data Analysis,8.5,Bachelor,68,68,46,31
JOBTR0001,TRAIN00236,Lead Data Analyst,Data Analysis,13,Data Analysis,11.9,Bachelor,42,79,32,36
JOBTR0001,TRAIN00452,Lead Data Analyst,Data Analysis,13,Data Analysis,3.2,Master,71,28,18,64
JOBTR0001,TRAIN00421,Lead Data Analyst,Data Analysis,13,Data Analysis,4.9,Bachelor,58,38,32,34
JOBTR0001,TRAIN00548,Lead Data Analyst,Data Analysis,13,Data Analysis,20.7,Master,84,90,17,38
JOBTR0001,TRAIN00008,Lead Data Analyst,Data Analysis,13,Data Analysis,14.3,Bachelor,47,89,16,55
JOBTR0001,TRAIN00003,Lead Data Analyst,Data Analysis,13,Data Analysis,25.6,Bachelor,44,90,67,59
JOBTR0001,TRAIN00376,Lead Data Analyst,Data Analysis,13,Data Analysis,5.1,Bachelor,62,40,2,32
JOBTR0001,TRAIN00726,Lead Data Analyst,Data Analysis,13,Data Analysis,0.0,Bachelor,63,0,0,16
JOBTR0001,TRAIN00297,Lead Data Analyst,Data Analysis,13,Data Analysis,3.7,Master,83,28,23,36
JOBTR0001,TRAIN00117,Lead Data Analyst,Data Analysis,13,Data Analysis,1.2,Master,83,10,0,34
JOBTR0001,TRAIN00564,Lead Data Analyst,Data Analysis,13,Data Analysis,2.7,Bachelor,70,25,3,42
JOBTR0001,TRAIN00170,Lead Data Analyst,Data Analysis,13,Data Analysis,16.4,Master,85,95,31,39
JOBTR0001,TRAIN00764,Lead Data Analyst,Data Analysis,13,Data Analysis,4.1,Bachelor,56,32,42,36
JOBTR0001,TRAIN00666,Lead Data Analyst,Data Analysis,13,Data Analysis,5.0,PhD,99,40,17,39
JOBTR0001,TRAIN00145,Lead Data Analyst,Data Analysis,13,Data Analysis,4.6,Bachelor,59,37,28,60
JOBTR0001,TRAIN00725,Lead Data Analyst,Data Analysis,13,Data Analysis,11.9,Master,71,77,48,31
JOBTR0001,TRAIN00792,Lead Data Analyst,Data Analysis,13,Data Analysis,21.3,Master,71,92,64,40
JOBTR0001,TRAIN00151,Lead Data Analyst,Data Analysis,13,Data Analysis,8.9,Bachelor,54,66,37,65
JOBTR0001,TRAIN00652,Lead Data Analyst,Data Analysis,13,Data Analysis,1.5,Bachelor,49,15,29,36
JOBTR0001,TRAIN00481,Lead Data Analyst,Data Analysis,13,Data Analysis,10.6,Bachelor,59,71,17,47
JOBTR0001,TRAIN00270,Lead Data Analyst,Data Analysis,13,Data Analysis,8.3,Bachelor,61,54,34,33
JOBTR0001,TRAIN00197,Lead Data Analyst,Data Analysis,13,Data Analysis,5.3,Bachelor,45,37,29,64
JOBTR0001,TRAIN00279,Lead Data Analyst,Data Analysis,13,Data Analysis,16.5,PhD,86,92,50,46
JOBTR0001,TRAIN00095,Lead Data Analyst,Data Analysis,13,Data Analysis,2.8,High School,23,27,20,67
JOBTR0001,TRAIN00363,Lead Data Analyst,Data Analysis,13,Data Analysis,10.8,High School,27,69,37,34
JOBTR0001,TRAIN00099,Lead Data Analyst,Data Analysis,13,Data Analysis,8.8,Master,83,60,8,34
JOBTR0001,TRAIN00724,Lead Data Analyst,Data Analysis,13,Data Analysis,7.2,Bachelor,63,54,21,56
JOBTR0001,TRAIN00440,Lead Data Analyst,Data Analysis,13,Data Analysis,23.6,PhD,78,95,51,59
JOBTR0001,TRAIN00054,Lead Data Analyst,Data Analysis,13,Data Analysis,1.6,Master,88,14,14,34
JOBTR0001,TRAIN00723,Lead Data Analyst,Data Analysis,13,Data Analysis,7.4,Master,93,55,51,68
JOBTR0001,TRAIN00323,Lead Data Analyst,Data Analysis,13,Data Analysis,1.9,High School,23,16,7,69
JOBTR0001,TRAIN00658,Lead Data Analyst,Data Analysis,13,Data Analysis,17.1,Bachelor,48,83,42,37
JOBTR0001,TRAIN00263,Lead Data Analyst,Data Analysis,13,Data Analysis,4.1,Master,81,38,16,97
JOBTR0001,TRAIN00562,Lead Data Analyst,Data Analysis,13,Data Analysis,1.4,Bachelor,49,14,16,34
JOBTR0001,TRAIN00337,Lead Data Analyst,Data Analysis,13,Data Analysis,7.3,Bachelor,61,54,9,74
JOBTR0001,TRAIN00761,Lead Data Analyst,Data Analysis,13,Data Analysis,6.9,Bachelor,58,52,20,60
JOBTR0001,TRAIN00198,Lead Data Analyst,Data Analysis,13,Data Analysis,9.0,High School,24,64,61,36
JOBTR0001,TRAIN00389,Lead Data Analyst,Data Analysis,13,Data Analysis,2.0,Bachelor,54,23,24,64
JOBTR0001,TRAIN00579,Lead Data Analyst,Data Analysis,13,Data Analysis,8.5,Bachelor,63,63,24,50
JOBTR0001,TRAIN00591,Lead Data Analyst,Data Analysis,13,Data Analysis,9.7,Master,77,64,69,35
JOBTR0001,TRAIN00799,Lead Data Analyst,Data Analysis,13,Data Analysis,18.4,High School,22,97,65,60
JOBTR0001,TRAIN00346,Lead Data Analyst,Data Analysis,13,Data Analysis,16.6,High School,21,90,39,39
JOBTR0001,TRAIN00350,Lead Data Analyst,Data Analysis,13,Data Analysis,14.0,Bachelor,42,86,70,57
JOBTR0001,TRAIN00293,Lead Data Analyst,Data Analysis,13,Data Analysis,6.5,High School,18,52,19,38
JOBTR0001,TRAIN00424,Lead Data Analyst,Data Analysis,13,Data Analysis,7.1,High School,22,44,0,44
JOBTR0001,TRAIN00264,Lead Data Analyst,Data Analysis,13,Data Analysis,1.1,Master,90,8,0,63
JOBTR0001,TRAIN00690,Lead Data Analyst,Data Analysis,13,Data Analysis,13.3,Bachelor,61,87,1,50
JOBTR0001,TRAIN00461,Lead Data Analyst,Data Analysis,13,Data Analysis,4.7,Master,94,29,30,66
JOBTR0001,TRAIN00676,Lead Data Analyst,Data Analysis,13,Data Analysis,4.0,High School,24,37,14,33
JOBTR0001,TRAIN00243,Lead Data Analyst,Data Analysis,13,Data Analysis,1.1,High School,22,15,20,31
JOBTR0001,TRAIN00692,Lead Data Analyst,Data Analysis,13,Data Analysis,9.2,Bachelor,51,65,31,33
JOBTR0001,TRAIN00570,Lead Data Analyst,Data Analysis,13,Data Analysis,4.9,Bachelor,48,34,27,66
JOBTR0001,TRAIN00662,Lead Data Analyst,Data Analysis,13,Data Analysis,4.3,Master,88,39,42,54
JOBTR0001,TRAIN00691,Lead Data Analyst,Data Analysis,13,Data Analysis,4.7,Master,84,40,36,86
JOBTR0001,TRAIN00106,Lead Data Analyst,Data Analysis,13,Data Analysis,9.9,Master,97,69,41,36
JOBTR0001,TRAIN00272,Lead Data Analyst,Data Analysis,13,Data Analysis,4.6,Master,88,35,10,32
JOBTR0001,TRAIN00156,Lead Data Analyst,Data Analysis,13,Data Analysis,5.5,Bachelor,47,41,56,52
JOBTR0001,TRAIN00202,Lead Data Analyst,Data Analysis,13,Data Analysis,22.8,High School,21,97,79,91
JOBTR0001,TRAIN00139,Lead Data Analyst,Data Analysis,13,Data Analysis,2.9,Master,87,28,23,33
JOBTR0001,TRAIN00615,Lead Data Analyst,Data Analysis,13,Data Analysis,4.1,Bachelor,63,30,25,36
JOBTR0001,TRAIN00705,Lead Data Analyst,Data Analysis,13,Data Analysis,0.2,Master,82,0,1,15
JOBTR0001,TRAIN00411,Lead Data Analyst,Data Analysis,13,Data Analysis,5.5,High School,23,31,0,37
JOBTR0001,TRAIN00437,Lead Data Analyst,Data Analysis,13,Data Analysis,7.0,Bachelor,61,46,17,37
JOBTR0001,TRAIN00082,Lead Data Analyst,Data Analysis,13,Data Analysis,14.5,Bachelor,60,89,67,67
JOBTR0001,TRAIN00592,Lead Data Analyst,Data Analysis,13,Data Analysis,2.0,High School,25,16,2,35
JOBTR0001,TRAIN00136,Lead Data Analyst,Data Analysis,13,Data Analysis,5.5,Bachelor,50,43,29,38
JOBTR0001,TRAIN00258,Lead Data Analyst,Data Analysis,13,Data Analysis,1.3,Bachelor,45,8,0,32
JOBTR0001,TRAIN00661,Lead Data Analyst,Data Analysis,13,Data Analysis,4.7,Bachelor,64,37,43,36
JOBTR0001,TRAIN00628,Lead Data Analyst,Data Analysis,13,Data Analysis,9.5,Master,81,67,21,35
JOBTR0001,TRAIN00455,Lead Data Analyst,Data Analysis,13,Data Analysis,29.6,Master,84,98,65,37
JOBTR0001,TRAIN00126,Lead Data Analyst,Data Analysis,13,Data Analysis,3.5,Master,86,29,21,53
JOBTR0001,TRAIN00239,Lead Data Analyst,Data Analysis,13,Data Analysis,16.6,Master,73,86,59,61
JOBTR0001,TRAIN00101,Lead Data Analyst,Data Analysis,13,Data Analysis,27.8,Bachelor,58,95,56,55
JOBTR0001,TRAIN00416,Lead Data Analyst,Data Analysis,13,Data Analysis,0.9,Master,77,12,2,20
JOBTR0001,TRAIN00329,Lead Data Analyst,Data Analysis,13,Data Analysis,7.5,Bachelor,46,58,43,32
JOBTR0001,TRAIN00229,Lead Data Analyst,Data Analysis,13,Data Analysis,9.8,Bachelor,55,65,34,37
JOBTR0001,TRAIN00178,Lead Data Analyst,Data Analysis,13,Data Analysis,4.9,Bachelor,56,31,0,69
JOBTR0001,TRAIN00625,Lead Data Analyst,Data Analysis,13,Data Analysis,3.2,High School,24,31,20,36
JOBTR0001,TRAIN00053,Lead Data Analyst,Data Analysis,13,Data Analysis,29.3,Master,76,95,43,60
JOBTR0001,TRAIN00395,Lead Data Analyst,Data Analysis,13,Data Analysis,12.9,Bachelor,49,84,26,58
JOBTR0001,TRAIN00599,Lead Data Analyst,Data Analysis,13,Data Analysis,4.2,Bachelor,65,33,36,34
JOBTR0001,TRAIN00256,Lead Data Analyst,Data Analysis,13,Data Analysis,9.5,Bachelor,57,60,56,43
JOBTR0001,TRAIN00235,Lead Data Analyst,Data Analysis,13,Data Analysis,16.3,High School,17,88,52,35
JOBTR0001,TRAIN00213,Lead Data Analyst,Data Analysis,13,Data Analysis,3.7,Master,73,29,27,37
JOBTR0001,TRAIN00244,Lead Data Analyst,Data Analysis,13,Data Analysis,1.1,Bachelor,55,14,12,34
JOBTR0001,TRAIN00171,Lead Data Analyst,Data Analysis,13,Data Analysis,4.7,PhD,94,36,26,55
JOBTR0001,TRAIN00179,Lead Data Analyst,Data Analysis,13,Data Analysis,2.5,High School,24,21,12,36
JOBTR0001,TRAIN00233,Lead Data Analyst,Data Analysis,13,Product/Design,17.3,Bachelor,58,52,28,65
JOBTR0001,TRAIN00110,Lead Data Analyst,Data Analysis,13,Data/AI/ML,1.6,High School,23,10,3,38
JOBTR0001,TRAIN00556,Lead Data Analyst,Data Analysis,13,Data/AI/ML,3.8,High School,26,26,0,34
JOBTR0001,TRAIN00121,Lead Data Analyst,Data Analysis,13,Software Development,4.3,PhD,93,17,0,66
JOBTR0001,TRAIN00693,Lead Data Analyst,Data Analysis,13,DevOps/Infrastructure,3.8,Bachelor,59,14,16,62
JOBTR0001,TRAIN00659,Lead Data Analyst,Data Analysis,13,Data/AI/ML,17.2,Bachelor,56,80,21,56
JOBTR0001,TRAIN00419,Lead Data Analyst,Data Analysis,13,Data/AI/ML,3.9,Master,86,22,0,29
JOBTR0001,TRAIN00046,Lead Data Analyst,Data Analysis,13,Software Development,13.7,Master,80,43,12,31
JOBTR0001,TRAIN00030,Lead Data Analyst,Data Analysis,13,Software Development,8.3,High School,22,32,0,38
JOBTR0001,TRAIN00516,Lead Data Analyst,Data Analysis,13,Product/Design,12.6,Master,73,36,35,43
JOBTR0001,TRAIN00358,Lead Data Analyst,Data Analysis,13,Data/AI/ML,6.8,Bachelor,46,40,35,41
JOBTR0001,TRAIN00338,Lead Data Analyst,Data Analysis,13,Software Development,3.9,Master,87,15,0,38
JOBTR0001,TRAIN00505,Lead Data Analyst,Data Analysis,13,Data/AI/ML,10.3,Bachelor,58,48,16,38
JOBTR0001,TRAIN00483,Lead Data Analyst,Data Analysis,13,Software Development,13.0,Bachelor,59,38,11,49
JOBTR0001,TRAIN00056,Lead Data Analyst,Data Analysis,13,DevOps/Infrastructure,0.1,Bachelor,57,9,9,14
JOBTR0001,TRAIN00259,Lead Data Analyst,Data Analysis,13,DevOps/Infrastructure,1.2,PhD,95,3,0,31
JOBTR0001,TRAIN00689,Lead Data Analyst,Data Analysis,13,Software Development,1.5,Master,69,6,9,36
JOBTR0001,TRAIN00378,Lead Data Analyst,Data Analysis,13,Software Development,0.8,Bachelor,56,3,0,21
JOBTR0001,TRAIN00067,Lead Data Analyst,Data Analysis,13,Data/AI/ML,16.2,Bachelor,50,78,10,38
JOBTR0001,TRAIN00163,Lead Data Analyst,Data Analysis,13,Product/Design,9.5,Bachelor,64,33,13,54
JOBTR0001,TRAIN00634,Lead Data Analyst,Data Analysis,13,Data/AI/ML,5.6,Master,77,29,47,33
JOBTR0001,TRAIN00144,Lead Data Analyst,Data Analysis,13,Software Development,4.1,High School,22,12,3,35
JOBTR0001,TRAIN00045,Lead Data Analyst,Data Analysis,13,QA/Testing,1.1,PhD,77,6,6,62
JOBTR0001,TRAIN00019,Lead Data Analyst,Data Analysis,13,Product/Design,4.9,Bachelor,61,17,21,34
JOBTR0001,TRAIN00495,Lead Data Analyst,Data Analysis,13,QA/Testing,9.0,Master,75,21,0,35
JOBTR0001,TRAIN00445,Lead Data Analyst,Data Analysis,13,Data/AI/ML,6.0,Bachelor,57,34,23,62
JOBTR0001,TRAIN00575,Lead Data Analyst,Data Analysis,13,Product/Design,3.9,Master,73,12,8,57
JOBTR0001,TRAIN00469,Lead Data Analyst,Data Analysis,13,Product/Design,27.6,Bachelor,47,70,50,51
JOBTR0001,TRAIN00668,Lead Data Analyst,Data Analysis,13,Software Development,2.6,High School,20,16,15,32
JOBTR0001,TRAIN00157,Lead Data Analyst,Data Analysis,13,Product/Design,5.6,Master,76,18,0,52
JOBTR0001,TRAIN00522,Lead Data Analyst,Data Analysis,13,DevOps/Infrastructure,1.9,Master,76,6,0,28
JOBTR0001,TRAIN00348,Lead Data Analyst,Data Analysis,13,QA/Testing,1.5,Bachelor,60,5,5,39
JOBTR0001,TRAIN00429,Lead Data Analyst,Data Analysis,13,Product/Design,4.7,PhD,82,21,31,40
JOBTR0001,TRAIN00680,Lead Data Analyst,Data Analysis,13,DevOps/Infrastructure,1.5,Bachelor,52,3,0,31
JOBTR0001,TRAIN00530,Lead Data Analyst,Data Analysis,13,Product/Design,2.7,High School,15,13,12,31
JOBTR0001,TRAIN00453,Lead Data Analyst,Data Analysis,13,QA/Testing,1.1,High School,29,5,22,35
JOBTR0001,TRAIN00466,Lead Data Analyst,Data Analysis,13,Data/AI/ML,3.5,Master,85,21,0,63
JOBTR0001,TRAIN00215,Lead Data Analyst,Data Analysis,13,Product/Design,26.2,PhD,95,74,27,36
JOBTR0001,TRAIN00737,Lead Data Analyst,Data Analysis,13,Data Analysis,3.8,Master,87,29,17,37
JOBTR0001,TRAIN00219,Lead Data Analyst,Data Analysis,13,QA/Testing,9.6,High School,20,19,12,34
JOBTR0001,TRAIN00006,Lead Data Analyst,Data Analysis,13,Data/AI/ML,1.7,Bachelor,59,9,1,32
JOBTR0001,TRAIN00111,Lead Data Analyst,Data Analysis,13,Data/AI/ML,7.4,Bachelor,57,39,14,48
JOBTR0001,TRAIN00086,Lead Data Analyst,Data Analysis,13,Product/Design,7.3,Bachelor,57,25,26,50
JOBTR0001,TRAIN00504,Lead Data Analyst,Data Analysis,13,Product/Design,9.6,Master,87,35,16,37
JOBTR0001,TRAIN00550,Lead Data Analyst,Data Analysis,13,Software Development,6.2,Bachelor,57,18,0,34
JOBTR0001,TRAIN00336,Lead Data Analyst,Data Analysis,13,Product/Design,15.2,Master,84,46,34,47
JOBTR0001,TRAIN00242,Lead Data Analyst,Data Analysis,13,Software Development,3.4,Bachelor,47,12,0,32
JOBTR0001,TRAIN00679,Lead Data Analyst,Data Analysis,13,QA/Testing,1.9,Bachelor,43,8,1,39
JOBTR0001,TRAIN00356,Lead Data Analyst,Data Analysis,13,Data/AI/ML,1.7,High School,21,9,10,36
JOBTR0001,TRAIN00719,Lead Data Analyst,Data Analysis,13,QA/Testing,19.1,PhD,100,45,0,42
JOBTR0001,TRAIN00165,Lead Data Analyst,Data Analysis,13,Product/Design,2.9,Bachelor,54,12,0,30
JOBTR0001,TRAIN00537,Lead Data Analyst,Data Analysis,13,DevOps/Infrastructure,7.5,PhD,92,23,15,98
JOBTR0001,TRAIN00414,Lead Data Analyst,Data Analysis,13,QA/Testing,2.2,PhD,100,2,0,31
JOBTR0001,TRAIN00770,Lead Data Analyst,Data Analysis,13,DevOps/Infrastructure,1.6,Master,69,5,8,32
JOBTR0001,TRAIN00120,Lead Data Analyst,Data Analysis,13,Data/AI/ML,3.9,Master,88,31,2,40
JOBTR0001,TRAIN00664,Lead Data Analyst,Data Analysis,13,Software Development,10.4,Bachelor,60,35,33,62
JOBTR0001,TRAIN00464,Lead Data Analyst,Data Analysis,13,Data/AI/ML,2.4,Master,77,16,16,68
JOBTR0001,TRAIN00703,Lead Data Analyst,Data Analysis,13,QA/Testing,7.4,Master,80,19,0,60
JOBTR0001,TRAIN00364,Lead Data Analyst,Data Analysis,13,Data/AI/ML,8.3,Master,71,46,19,100
JOBTR0001,TRAIN00201,Lead Data Analyst,Data Analysis,13,Software Development,5.0,Bachelor,48,17,2,37
JOBTR0001,TRAIN00512,Lead Data Analyst,Data Analysis,13,Data/AI/ML,4.3,Bachelor,59,20,12,66
JOBTR0001,TRAIN00492,Lead Data Analyst,Data Analysis,13,Product/Design,7.3,Master,92,22,31,52
JOBTR0001,TRAIN00684,Lead Data Analyst,Data Analysis,13,Software Development,3.3,Master,89,12,13,31
JOBTR0001,TRAIN00366,Lead Data Analyst,Data Analysis,13,Product/Design,2.8,High School,20,6,0,68
JOBTR0001,TRAIN00635,Lead Data Analyst,Data Analysis,13,DevOps/Infrastructure,6.3,PhD,81,12,3,54
JOBTR0001,TRAIN00734,Lead Data Analyst,Data Analysis,13,QA/Testing,2.0,High School,22,4,4,69
JOBTR0001,TRAIN00791,Lead Data Analyst,Data Analysis,13,QA/Testing,11.0,Bachelor,58,25,0,40
JOBTR0001,TRAIN00406,Lead Data Analyst,Data Analysis,13,DevOps/Infrastructure,16.0,Master,85,36,52,32
JOBTR0001,TRAIN00392,Lead Data Analyst,Data Analysis,13,DevOps/Infrastructure,2.7,High School,26,8,23,36
JOBTR0001,TRAIN00292,Lead Data Analyst,Data Analysis,13,Data/AI/ML,2.7,Bachelor,57,21,2,33
JOBTR0001,TRAIN00172,Lead Data Analyst,Data Analysis,13,Software Development,0.9,Bachelor,54,7,0,18
JOBTR0001,TRAIN00471,Lead Data Analyst,Data Analysis,13,Software Development,16.3,Master,78,47,0,43
JOBTR0001,TRAIN00744,Lead Data Analyst,Data Analysis,13,Data/AI/ML,7.8,Bachelor,57,39,0,78
JOBTR0001,TRAIN00750,Lead Data Analyst,Data Analysis,13,DevOps/Infrastructure,5.0,Master,91,11,1,40
JOBTR0001,TRAIN00104,Lead Data Analyst,Data Analysis,13,Product/Design,19.8,Bachelor,57,58,29,49
JOBTR0001,TRAIN00379,Lead Data Analyst,Data Analysis,13,Software Development,1.4,Bachelor,57,7,5,37
JOBTR0001,TRAIN00714,Lead Data Analyst,Data Analysis,13,DevOps/Infrastructure,4.8,Master,73,13,1,49
JOBTR0001,TRAIN00451,Lead Data Analyst,Data Analysis,13,Product/Design,1.2,High School,22,5,22,40
JOBTR0001,TRAIN00083,Lead Data Analyst,Data Analysis,13,QA/Testing,1.7,Bachelor,45,9,0,30
JOBTR0001,TRAIN00574,Lead Data Analyst,Data Analysis,13,Data/AI/ML,6.4,PhD,97,35,3,59
JOBTR0001,TRAIN00186,Lead Data Analyst,Data Analysis,13,Product/Design,3.0,Master,85,9,16,67
JOBTR0001,TRAIN00345,Lead Data Analyst,Data Analysis,13,Data/AI/ML,1.7,Bachelor,58,7,2,66
JOBTR0001,TRAIN00460,Lead Data Analyst,Data Analysis,13,DevOps/Infrastructure,4.7,Bachelor,55,16,1,27
JOBTR0001,TRAIN00313,Lead Data Analyst,Data Analysis,13,Software Development,5.5,High School,24,19,7,34
JOBTR0001,TRAIN00447,Lead Data Analyst,Data Analysis,13,Data/AI/ML,1.4,Master,70,10,1,65
JOBTR0001,TRAIN00390,Lead Data Analyst,Data Analysis,13,QA/Testing,1.1,Bachelor,49,2,15,38
JOBTR0001,TRAIN00075,Lead Data Analyst,Data Analysis,13,Data/AI/ML,6.9,Bachelor,47,37,0,54
JOBTR0001,TRAIN00326,Lead Data Analyst,Data Analysis,13,Product/Design,5.9,Master,75,21,0,50
JOBTR0001,TRAIN00660,Lead Data Analyst,Data Analysis,13,Data/AI/ML,18.0,Bachelor,48,83,38,40
JOBTR0001,TRAIN00280,Lead Data Analyst,Data Analysis,13,Software Development,1.9,High School,21,7,1,65
JOBTR0001,TRAIN00433,Lead Data Analyst,Data Analysis,13,DevOps/Infrastructure,4.8,High School,24,13,0,61
JOBTR0001,TRAIN00587,Lead Data Analyst,Data Analysis,13,QA/Testing,1.1,Bachelor,54,3,0,32
JOBTR0001,TRAIN00677,Lead Data Analyst,Data Analysis,13,Product/Design,5.1,Master,85,17,16,37
JOBTR0001,TRAIN00552,Lead Data Analyst,Data Analysis,13,QA/Testing,1.1,Master,85,9,0,67
JOBTR0001,TRAIN00288,Lead Data Analyst,Data Analysis,13,QA/Testing,3.0,Bachelor,44,15,0,48
JOBTR0001,TRAIN00282,Lead Data Analyst,Data Analysis,13,DevOps/Infrastructure,5.6,Master,88,14,14,59
JOBTR0001,TRAIN00706,Lead Data Analyst,Data Analysis,13,Software Development,0.1,High School,21,0,0,13
JOBTR0001,TRAIN00138,Lead Data Analyst,Data Analysis,13,Software Development,20.6,Bachelor,61,57,1,57
JOBTR0001,TRAIN00174,Lead Data Analyst,Data Analysis,13,Data/AI/ML,6.5,Bachelor,45,32,17,42
