id,split,pdf_path,template,difficulty,pagesize,skill_mode,skill_years_stated,scanned,contact_in_header_only,pages,fallback
TRAIN00039,train,cvs_pdf/TRAIN00039.pdf,academic_dense,medium,letter,categorised,False,False,True,1,
TRAIN00040,train,cvs_pdf/TRAIN00040.pdf,classic_ats,easy,A4,plain,False,False,False,1,
TRAIN00041,train,cvs_pdf/TRAIN00041.pdf,left_sidebar_dark,hard,letter,years,True,False,True,1,
TRAIN00042,train,cvs_pdf/TRAIN00042.pdf,compact_boxed,medium,letter,plain,False,False,False,2,
TRAIN00043,train,cvs_pdf/TRAIN00043.pdf,table_grid,hard,letter,years,True,False,False,1,
TRAIN00044,train,cvs_pdf/TRAIN00044.pdf,academic_dense,medium,letter,plain,False,False,False,1,
TRAIN00045,train,cvs_pdf/TRAIN00045.pdf,compact_boxed,medium,letter,categorised,False,False,False,1,
TRAIN00046,train,cvs_pdf/TRAIN00046.pdf,academic_dense,medium,A4,bullets,False,False,False,1,
TRAIN00047,train,cvs_pdf/TRAIN00047.pdf,right_sidebar_light,hard,A4,bullets,False,False,False,1,
TRAIN00048,train,cvs_pdf/TRAIN00048.pdf,two_column_balanced,hard,letter,bars,False,False,False,1,
TRAIN00049,train,cvs_pdf/TRAIN00049.pdf,table_grid,hard,letter,bars,False,False,False,1,
TRAIN00050,train,cvs_pdf/TRAIN00050.pdf,table_grid,hard,A4,plain,False,False,False,1,
TRAIN00051,train,cvs_pdf/TRAIN00051.pdf,minimal_centered,scanned,letter,years,True,True,True,1,
TRAIN00052,train,cvs_pdf/TRAIN00052.pdf,left_sidebar_dark,hard,A4,categorised,False,False,True,1,
TRAIN00053,train,cvs_pdf/TRAIN00053.pdf,two_column_balanced,hard,letter,levels,False,False,False,1,
TRAIN00054,train,cvs_pdf/TRAIN00054.pdf,modern_banner,easy,A4,categorised,False,False,False,1,
TRAIN00055,train,cvs_pdf/TRAIN00055.pdf,modern_banner,easy,letter,bars,False,False,False,1,
TRAIN00056,train,cvs_pdf/TRAIN00056.pdf,two_column_balanced,hard,letter,bars,False,False,False,1,
TRAIN00057,train,cvs_pdf/TRAIN00057.pdf,right_sidebar_light,hard,A4,years,True,False,False,2,
TRAIN00058,train,cvs_pdf/TRAIN00058.pdf,table_grid,hard,letter,plain,False,False,True,1,
TRAIN00059,train,cvs_pdf/TRAIN00059.pdf,left_sidebar_dark,hard,letter,table,False,False,False,2,
TRAIN00060,train,cvs_pdf/TRAIN00060.pdf,minimal_centered,scanned,letter,years,True,True,False,1,
TRAIN00061,train,cvs_pdf/TRAIN00061.pdf,academic_dense,medium,letter,years,True,False,False,2,
TRAIN00062,train,cvs_pdf/TRAIN00062.pdf,two_column_balanced,hard,letter,plain,False,False,False,1,
TRAIN00063,train,cvs_pdf/TRAIN00063.pdf,classic_ats,easy,letter,table,False,False,False,2,
TRAIN00064,train,cvs_pdf/TRAIN00064.pdf,table_grid,hard,letter,bars,False,False,False,1,
TRAIN00065,train,cvs_pdf/TRAIN00065.pdf,compact_boxed,medium,A4,years,True,False,False,1,
TRAIN00066,train,cvs_pdf/TRAIN00066.pdf,table_grid,scanned,A4,bullets,False,True,False,1,
TRAIN00067,train,cvs_pdf/TRAIN00067.pdf,two_column_balanced,hard,letter,years,True,False,False,1,
TRAIN00068,train,cvs_pdf/TRAIN00068.pdf,classic_ats,easy,A4,plain,False,False,False,1,
TRAIN00069,train,cvs_pdf/TRAIN00069.pdf,right_sidebar_light,hard,letter,levels,False,False,True,1,
TRAIN00070,train,cvs_pdf/TRAIN00070.pdf,minimal_centered,medium,letter,table,False,False,False,2,
TRAIN00071,train,cvs_pdf/TRAIN00071.pdf,modern_banner,easy,letter,bullets,False,False,False,2,
TRAIN00072,train,cvs_pdf/TRAIN00072.pdf,two_column_balanced,hard,A4,bars,False,False,False,1,
TRAIN00073,train,cvs_pdf/TRAIN00073.pdf,modern_banner,easy,letter,levels,False,False,True,1,
TRAIN00074,train,cvs_pdf/TRAIN00074.pdf,minimal_centered,medium,letter,bullets,False,False,True,1,
TRAIN00075,train,cvs_pdf/TRAIN00075.pdf,classic_ats,easy,A4,bullets,False,False,False,1,
TRAIN00076,train,cvs_pdf/TRAIN00076.pdf,minimal_centered,medium,A4,categorised,False,False,False,1,
TRAIN00077,train,cvs_pdf/TRAIN00077.pdf,two_column_balanced,hard,A4,plain,False,False,False,1,
TRAIN00078,train,cvs_pdf/TRAIN00078.pdf,classic_ats,easy,A4,years,True,False,True,1,
TRAIN00079,train,cvs_pdf/TRAIN00079.pdf,modern_banner,easy,letter,plain,False,False,False,2,
TRAIN00080,train,cvs_pdf/TRAIN00080.pdf,table_grid,hard,letter,categorised,False,False,False,1,
TRAIN00081,train,cvs_pdf/TRAIN00081.pdf,minimal_centered,scanned,A4,years,True,True,False,1,
TRAIN00082,train,cvs_pdf/TRAIN00082.pdf,minimal_centered,medium,letter,plain,False,False,False,1,
TRAIN00083,train,cvs_pdf/TRAIN00083.pdf,classic_ats,easy,letter,bars,False,False,False,1,
TRAIN00084,train,cvs_pdf/TRAIN00084.pdf,classic_ats,easy,letter,years,True,False,False,1,
TRAIN00085,train,cvs_pdf/TRAIN00085.pdf,two_column_balanced,hard,letter,categorised,False,False,False,1,
TRAIN00086,train,cvs_pdf/TRAIN00086.pdf,right_sidebar_light,hard,A4,table,False,False,False,1,
TRAIN00087,train,cvs_pdf/TRAIN00087.pdf,table_grid,hard,A4,table,False,False,False,2,
TRAIN00088,train,cvs_pdf/TRAIN00088.pdf,modern_banner,easy,letter,years,True,False,True,1,
TRAIN00089,train,cvs_pdf/TRAIN00089.pdf,classic_ats,easy,letter,bullets,False,False,False,2,
TRAIN00090,train,cvs_pdf/TRAIN00090.pdf,two_column_balanced,hard,A4,years,True,False,True,1,
TRAIN00091,train,cvs_pdf/TRAIN00091.pdf,table_grid,hard,letter,years,True,False,True,1,
TRAIN00092,train,cvs_pdf/TRAIN00092.pdf,two_column_balanced,hard,letter,bullets,False,False,False,1,
TRAIN00093,train,cvs_pdf/TRAIN00093.pdf,left_sidebar_dark,hard,letter,table,False,False,False,1,
TRAIN00094,train,cvs_pdf/TRAIN00094.pdf,academic_dense,medium,letter,table,False,False,False,1,
TRAIN00095,train,cvs_pdf/TRAIN00095.pdf,table_grid,hard,letter,categorised,False,False,False,1,
TRAIN00096,train,cvs_pdf/TRAIN00096.pdf,modern_banner,easy,letter,table,False,False,True,1,
TRAIN00097,train,cvs_pdf/TRAIN00097.pdf,table_grid,hard,letter,table,False,False,False,1,
TRAIN00098,train,cvs_pdf/TRAIN00098.pdf,left_sidebar_dark,hard,letter,years,True,False,False,1,
TRAIN00099,train,cvs_pdf/TRAIN00099.pdf,minimal_centered,medium,A4,bullets,False,False,False,2,
TRAIN00100,train,cvs_pdf/TRAIN00100.pdf,right_sidebar_light,hard,letter,table,False,False,False,1,
TRAIN00101,train,cvs_pdf/TRAIN00101.pdf,modern_banner,easy,A4,bars,False,False,False,1,
TRAIN00102,train,cvs_pdf/TRAIN00102.pdf,modern_banner,easy,letter,table,False,False,False,1,
TRAIN00103,train,cvs_pdf/TRAIN00103.pdf,two_column_balanced,hard,letter,years,True,False,False,1,
TRAIN00104,train,cvs_pdf/TRAIN00104.pdf,europass_style,hard,letter,categorised,False,False,False,1,
TRAIN00105,train,cvs_pdf/TRAIN00105.pdf,academic_dense,medium,letter,none,False,False,False,1,
TRAIN00106,train,cvs_pdf/TRAIN00106.pdf,minimal_centered,medium,letter,years,True,False,False,1,
TRAIN00107,train,cvs_pdf/TRAIN00107.pdf,minimal_centered,scanned,letter,table,False,True,True,1,
TRAIN00108,train,cvs_pdf/TRAIN00108.pdf,table_grid,hard,letter,table,False,False,False,1,
TRAIN00109,train,cvs_pdf/TRAIN00109.pdf,classic_ats,easy,A4,levels,False,False,False,1,
TRAIN00110,train,cvs_pdf/TRAIN00110.pdf,compact_boxed,medium,letter,none,False,False,False,1,
TRAIN00111,train,cvs_pdf/TRAIN00111.pdf,classic_ats,easy,letter,categorised,False,False,False,1,
TRAIN00112,train,cvs_pdf/TRAIN00112.pdf,modern_banner,easy,letter,bullets,False,False,False,1,
TRAIN00113,train,cvs_pdf/TRAIN00113.pdf,classic_ats,easy,letter,years,True,False,False,1,
TRAIN00114,train,cvs_pdf/TRAIN00114.pdf,two_column_balanced,hard,letter,levels,False,False,False,1,
TRAIN00115,train,cvs_pdf/TRAIN00115.pdf,table_grid,hard,letter,bars,False,False,False,1,
TRAIN00116,train,cvs_pdf/TRAIN00116.pdf,two_column_balanced,hard,A4,categorised,False,False,False,1,
TRAIN00117,train,cvs_pdf/TRAIN00117.pdf,minimal_centered,medium,A4,years,True,False,False,1,
TRAIN00118,train,cvs_pdf/TRAIN00118.pdf,minimal_centered,medium,A4,bars,False,False,False,2,
TRAIN00119,train,cvs_pdf/TRAIN00119.pdf,two_column_balanced,hard,A4,table,False,False,True,1,
TRAIN00120,train,cvs_pdf/TRAIN00120.pdf,classic_ats,easy,A4,categorised,False,False,False,1,
TRAIN00121,train,cvs_pdf/TRAIN00121.pdf,minimal_centered,medium,A4,categorised,False,False,False,1,
TRAIN00122,train,cvs_pdf/TRAIN00122.pdf,compact_boxed,medium,letter,levels,False,False,True,1,
TRAIN00123,train,cvs_pdf/TRAIN00123.pdf,modern_banner,easy,letter,years,True,False,False,2,
TRAIN00124,train,cvs_pdf/TRAIN00124.pdf,academic_dense,medium,letter,categorised,False,False,False,1,
TRAIN00125,train,cvs_pdf/TRAIN00125.pdf,modern_banner,easy,A4,plain,False,False,False,1,
TRAIN00126,train,cvs_pdf/TRAIN00126.pdf,modern_banner,easy,letter,bars,False,False,False,1,
TRAIN00127,train,cvs_pdf/TRAIN00127.pdf,minimal_centered,medium,A4,levels,False,False,False,1,
TRAIN00128,train,cvs_pdf/TRAIN00128.pdf,classic_ats,easy,letter,bullets,False,False,False,1,
TRAIN00129,train,cvs_pdf/TRAIN00129.pdf,academic_dense,medium,A4,plain,False,False,False,1,
TRAIN00130,train,cvs_pdf/TRAIN00130.pdf,table_grid,hard,letter,bars,False,False,False,1,
TRAIN00131,train,cvs_pdf/TRAIN00131.pdf,two_column_balanced,hard,A4,years,True,False,False,1,
TRAIN00132,train,cvs_pdf/TRAIN00132.pdf,classic_ats,easy,letter,table,False,False,False,2,
TRAIN00133,train,cvs_pdf/TRAIN00133.pdf,modern_banner,scanned,letter,bullets,False,True,False,1,
TRAIN00134,train,cvs_pdf/TRAIN00134.pdf,table_grid,hard,A4,levels,False,False,False,1,
TRAIN00135,train,cvs_pdf/TRAIN00135.pdf,right_sidebar_light,hard,A4,bullets,False,False,False,1,
TRAIN00136,train,cvs_pdf/TRAIN00136.pdf,two_column_balanced,scanned,letter,categorised,False,True,False,1,
TRAIN00137,train,cvs_pdf/TRAIN00137.pdf,two_column_balanced,hard,letter,levels,False,False,False,1,
TRAIN00138,train,cvs_pdf/TRAIN00138.pdf,two_column_balanced,hard,A4,levels,False,False,False,1,
TRAIN00139,train,cvs_pdf/TRAIN00139.pdf,compact_boxed,medium,A4,table,False,False,False,1,
TRAIN00140,train,cvs_pdf/TRAIN00140.pdf,classic_ats,easy,letter,table,False,False,False,2,
TRAIN00141,train,cvs_pdf/TRAIN00141.pdf,classic_ats,easy,letter,years,True,False,False,1,
TRAIN00142,train,cvs_pdf/TRAIN00142.pdf,minimal_centered,medium,letter,categorised,False,False,False,2,
TRAIN00143,train,cvs_pdf/TRAIN00143.pdf,left_sidebar_dark,hard,A4,plain,False,False,False,1,
TRAIN00144,train,cvs_pdf/TRAIN00144.pdf,modern_banner,easy,A4,plain,False,False,False,1,
TRAIN00145,train,cvs_pdf/TRAIN00145.pdf,two_column_balanced,hard,letter,bullets,False,False,False,1,
TRAIN00146,train,cvs_pdf/TRAIN00146.pdf,compact_boxed,medium,letter,plain,False,False,False,2,
TRAIN00147,train,cvs_pdf/TRAIN00147.pdf,europass_style,hard,letter,table,False,False,False,1,
TRAIN00148,train,cvs_pdf/TRAIN00148.pdf,classic_ats,easy,A4,bullets,False,False,True,1,
TRAIN00149,train,cvs_pdf/TRAIN00149.pdf,left_sidebar_dark,hard,letter,bullets,False,False,False,1,
TRAIN00150,train,cvs_pdf/TRAIN00150.pdf,academic_dense,medium,A4,categorised,False,False,True,1,
TRAIN00151,train,cvs_pdf/TRAIN00151.pdf,table_grid,hard,letter,bullets,False,False,False,1,
TRAIN00152,train,cvs_pdf/TRAIN00152.pdf,left_sidebar_dark,hard,letter,years,True,False,False,1,
TRAIN00153,train,cvs_pdf/TRAIN00153.pdf,two_column_balanced,hard,A4,years,True,False,True,1,
TRAIN00154,train,cvs_pdf/TRAIN00154.pdf,compact_boxed,medium,letter,bullets,False,False,False,2,
TRAIN00155,train,cvs_pdf/TRAIN00155.pdf,classic_ats,easy,letter,plain,False,False,False,1,
TRAIN00156,train,cvs_pdf/TRAIN00156.pdf,two_column_balanced,hard,letter,years,True,False,False,1,
TRAIN00157,train,cvs_pdf/TRAIN00157.pdf,two_column_balanced,hard,letter,categorised,False,False,False,1,
TRAIN00158,train,cvs_pdf/TRAIN00158.pdf,two_column_balanced,hard,letter,years,True,False,True,1,
TRAIN00159,train,cvs_pdf/TRAIN00159.pdf,compact_boxed,medium,letter,categorised,False,False,True,1,
TRAIN00160,train,cvs_pdf/TRAIN00160.pdf,table_grid,hard,A4,bars,False,False,False,1,
TRAIN00161,train,cvs_pdf/TRAIN00161.pdf,right_sidebar_light,hard,A4,years,True,False,False,1,
TRAIN00162,train,cvs_pdf/TRAIN00162.pdf,table_grid,hard,letter,bullets,False,False,False,1,
TRAIN00163,train,cvs_pdf/TRAIN00163.pdf,table_grid,hard,letter,levels,False,False,False,2,
TRAIN00164,train,cvs_pdf/TRAIN00164.pdf,table_grid,hard,A4,categorised,False,False,False,1,
TRAIN00165,train,cvs_pdf/TRAIN00165.pdf,compact_boxed,medium,A4,years,True,False,False,1,
TRAIN00166,train,cvs_pdf/TRAIN00166.pdf,modern_banner,easy,letter,categorised,False,False,True,2,
TRAIN00167,train,cvs_pdf/TRAIN00167.pdf,two_column_balanced,hard,A4,bullets,False,False,False,1,
TRAIN00168,train,cvs_pdf/TRAIN00168.pdf,europass_style,hard,A4,years,True,False,False,1,
TRAIN00169,train,cvs_pdf/TRAIN00169.pdf,modern_banner,easy,letter,categorised,False,False,False,2,
TRAIN00170,train,cvs_pdf/TRAIN00170.pdf,two_column_balanced,hard,letter,bars,False,False,False,1,
TRAIN00171,train,cvs_pdf/TRAIN00171.pdf,europass_style,hard,A4,table,False,False,False,1,
TRAIN00172,train,cvs_pdf/TRAIN00172.pdf,two_column_balanced,hard,letter,bullets,False,False,False,1,
TRAIN00173,train,cvs_pdf/TRAIN00173.pdf,compact_boxed,medium,letter,bullets,False,False,False,1,
TRAIN00174,train,cvs_pdf/TRAIN00174.pdf,compact_boxed,medium,letter,levels,False,False,False,1,
TRAIN00175,train,cvs_pdf/TRAIN00175.pdf,modern_banner,easy,letter,years,True,False,False,1,
TRAIN00176,train,cvs_pdf/TRAIN00176.pdf,compact_boxed,medium,A4,categorised,False,False,False,1,
TRAIN00177,train,cvs_pdf/TRAIN00177.pdf,modern_banner,easy,letter,categorised,False,False,False,1,
TRAIN00178,train,cvs_pdf/TRAIN00178.pdf,right_sidebar_light,hard,letter,categorised,False,False,False,1,
TRAIN00179,train,cvs_pdf/TRAIN00179.pdf,minimal_centered,medium,A4,bars,False,False,True,1,
TRAIN00180,train,cvs_pdf/TRAIN00180.pdf,modern_banner,easy,letter,categorised,False,False,False,1,
TRAIN00181,train,cvs_pdf/TRAIN00181.pdf,table_grid,hard,A4,years,True,False,False,1,
TRAIN00182,train,cvs_pdf/TRAIN00182.pdf,classic_ats,easy,A4,bars,False,False,True,1,
TRAIN00183,train,cvs_pdf/TRAIN00183.pdf,minimal_centered,medium,letter,levels,False,False,True,1,
TRAIN00184,train,cvs_pdf/TRAIN00184.pdf,modern_banner,easy,letter,bullets,False,False,False,1,
TRAIN00185,train,cvs_pdf/TRAIN00185.pdf,compact_boxed,medium,A4,categorised,False,False,False,1,
TRAIN00186,train,cvs_pdf/TRAIN00186.pdf,two_column_balanced,hard,letter,categorised,False,False,False,1,
TRAIN00187,train,cvs_pdf/TRAIN00187.pdf,compact_boxed,medium,letter,bullets,False,False,False,2,
TRAIN00188,train,cvs_pdf/TRAIN00188.pdf,compact_boxed,medium,letter,categorised,False,False,False,1,
TRAIN00189,train,cvs_pdf/TRAIN00189.pdf,left_sidebar_dark,hard,letter,years,True,False,False,1,
TRAIN00190,train,cvs_pdf/TRAIN00190.pdf,minimal_centered,medium,letter,years,True,False,False,1,
TRAIN00191,train,cvs_pdf/TRAIN00191.pdf,right_sidebar_light,hard,letter,table,False,False,False,1,
TRAIN00192,train,cvs_pdf/TRAIN00192.pdf,minimal_centered,medium,letter,bars,False,False,False,1,
TRAIN00193,train,cvs_pdf/TRAIN00193.pdf,academic_dense,medium,letter,categorised,False,False,True,1,
TRAIN00194,train,cvs_pdf/TRAIN00194.pdf,modern_banner,easy,letter,table,False,False,False,1,
TRAIN00195,train,cvs_pdf/TRAIN00195.pdf,classic_ats,easy,letter,plain,False,False,False,1,
TRAIN00196,train,cvs_pdf/TRAIN00196.pdf,compact_boxed,medium,A4,bars,False,False,False,2,
TRAIN00197,train,cvs_pdf/TRAIN00197.pdf,compact_boxed,medium,A4,plain,False,False,False,1,
TRAIN00198,train,cvs_pdf/TRAIN00198.pdf,two_column_balanced,scanned,letter,levels,False,True,False,1,
TRAIN00199,train,cvs_pdf/TRAIN00199.pdf,modern_banner,easy,letter,table,False,False,False,1,
TRAIN00200,train,cvs_pdf/TRAIN00200.pdf,minimal_centered,medium,A4,table,False,False,False,1,
TRAIN00201,train,cvs_pdf/TRAIN00201.pdf,table_grid,hard,A4,table,False,False,False,1,
TRAIN00202,train,cvs_pdf/TRAIN00202.pdf,two_column_balanced,hard,A4,categorised,False,False,False,1,
TRAIN00203,train,cvs_pdf/TRAIN00203.pdf,academic_dense,medium,letter,plain,False,False,False,1,
TRAIN00204,train,cvs_pdf/TRAIN00204.pdf,modern_banner,easy,A4,bullets,False,False,False,1,
TRAIN00205,train,cvs_pdf/TRAIN00205.pdf,academic_dense,medium,A4,plain,False,False,True,1,
TRAIN00206,train,cvs_pdf/TRAIN00206.pdf,two_column_balanced,hard,letter,bullets,False,False,False,1,
TRAIN00207,train,cvs_pdf/TRAIN00207.pdf,classic_ats,easy,letter,plain,False,False,False,1,
TRAIN00208,train,cvs_pdf/TRAIN00208.pdf,classic_ats,easy,letter,table,False,False,False,1,
TRAIN00209,train,cvs_pdf/TRAIN00209.pdf,classic_ats,easy,letter,bullets,False,False,False,2,
TRAIN00210,train,cvs_pdf/TRAIN00210.pdf,modern_banner,easy,letter,bullets,False,False,False,1,
TRAIN00211,train,cvs_pdf/TRAIN00211.pdf,compact_boxed,medium,A4,years,True,False,False,1,
TRAIN00212,train,cvs_pdf/TRAIN00212.pdf,modern_banner,easy,letter,plain,False,False,False,1,
TRAIN00213,train,cvs_pdf/TRAIN00213.pdf,minimal_centered,medium,A4,bars,False,False,False,1,
TRAIN00214,train,cvs_pdf/TRAIN00214.pdf,minimal_centered,medium,letter,table,False,False,False,1,
TRAIN00215,train,cvs_pdf/TRAIN00215.pdf,minimal_centered,medium,A4,bullets,False,False,False,1,
TRAIN00216,train,cvs_pdf/TRAIN00216.pdf,table_grid,hard,letter,categorised,False,False,False,1,
TRAIN00217,train,cvs_pdf/TRAIN00217.pdf,minimal_centered,medium,letter,categorised,False,False,False,1,
TRAIN00218,train,cvs_pdf/TRAIN00218.pdf,table_grid,hard,A4,bars,False,False,False,2,
TRAIN00219,train,cvs_pdf/TRAIN00219.pdf,compact_boxed,medium,letter,plain,False,False,False,1,
TRAIN00220,train,cvs_pdf/TRAIN00220.pdf,europass_style,hard,A4,table,False,False,False,1,
TRAIN00221,train,cvs_pdf/TRAIN00221.pdf,classic_ats,easy,A4,table,False,False,False,1,
TRAIN00222,train,cvs_pdf/TRAIN00222.pdf,table_grid,hard,A4,bars,False,False,False,1,
TRAIN00223,train,cvs_pdf/TRAIN00223.pdf,right_sidebar_light,scanned,letter,levels,False,True,True,1,
TRAIN00224,train,cvs_pdf/TRAIN00224.pdf,two_column_balanced,hard,letter,bullets,False,False,True,1,
TRAIN00225,train,cvs_pdf/TRAIN00225.pdf,two_column_balanced,hard,letter,years,True,False,False,1,
TRAIN00226,train,cvs_pdf/TRAIN00226.pdf,modern_banner,easy,letter,bullets,False,False,False,1,
TRAIN00227,train,cvs_pdf/TRAIN00227.pdf,modern_banner,easy,A4,plain,False,False,False,1,
TRAIN00228,train,cvs_pdf/TRAIN00228.pdf,right_sidebar_light,scanned,letter,bars,False,True,False,1,
TRAIN00229,train,cvs_pdf/TRAIN00229.pdf,academic_dense,medium,A4,table,False,False,False,2,
TRAIN00230,train,cvs_pdf/TRAIN00230.pdf,table_grid,hard,letter,bars,False,False,False,2,
TRAIN00231,train,cvs_pdf/TRAIN00231.pdf,table_grid,hard,letter,years,True,False,False,1,
TRAIN00232,train,cvs_pdf/TRAIN00232.pdf,compact_boxed,medium,A4,table,False,False,False,2,
TRAIN00233,train,cvs_pdf/TRAIN00233.pdf,table_grid,hard,letter,categorised,False,False,False,1,
TRAIN00234,train,cvs_pdf/TRAIN00234.pdf,right_sidebar_light,hard,A4,plain,False,False,False,2,
TRAIN00235,train,cvs_pdf/TRAIN00235.pdf,two_column_balanced,hard,letter,categorised,False,False,True,1,
TRAIN00236,train,cvs_pdf/TRAIN00236.pdf,europass_style,hard,letter,categorised,False,False,False,1,
TRAIN00237,train,cvs_pdf/TRAIN00237.pdf,compact_boxed,medium,letter,bars,False,False,False,1,
TRAIN00238,train,cvs_pdf/TRAIN00238.pdf,modern_banner,easy,letter,years,True,False,False,1,
TRAIN00239,train,cvs_pdf/TRAIN00239.pdf,right_sidebar_light,hard,A4,categorised,False,False,False,1,
TRAIN00240,train,cvs_pdf/TRAIN00240.pdf,table_grid,hard,letter,plain,False,False,False,1,
TRAIN00241,train,cvs_pdf/TRAIN00241.pdf,left_sidebar_dark,hard,A4,bars,False,False,False,1,
TRAIN00242,train,cvs_pdf/TRAIN00242.pdf,right_sidebar_light,hard,letter,years,True,False,False,1,
TRAIN00243,train,cvs_pdf/TRAIN00243.pdf,modern_banner,easy,A4,table,False,False,False,1,
TRAIN00244,train,cvs_pdf/TRAIN00244.pdf,compact_boxed,medium,letter,plain,False,False,False,1,
TRAIN00245,train,cvs_pdf/TRAIN00245.pdf,modern_banner,easy,letter,levels,False,False,False,1,
TRAIN00246,train,cvs_pdf/TRAIN00246.pdf,classic_ats,easy,letter,categorised,False,False,False,1,
TRAIN00247,train,cvs_pdf/TRAIN00247.pdf,two_column_balanced,hard,letter,table,False,False,False,1,
TRAIN00248,train,cvs_pdf/TRAIN00248.pdf,modern_banner,easy,letter,plain,False,False,True,2,
TRAIN00249,train,cvs_pdf/TRAIN00249.pdf,classic_ats,easy,A4,years,True,False,False,1,
TRAIN00250,train,cvs_pdf/TRAIN00250.pdf,table_grid,hard,A4,bullets,False,False,False,2,
TRAIN00251,train,cvs_pdf/TRAIN00251.pdf,modern_banner,easy,A4,bullets,False,False,False,1,
TRAIN00252,train,cvs_pdf/TRAIN00252.pdf,right_sidebar_light,hard,letter,table,False,False,False,2,
TRAIN00253,train,cvs_pdf/TRAIN00253.pdf,academic_dense,medium,letter,bullets,False,False,False,1,
